# _tick,_time,step,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mu,sigma,BanditHalideEnv-v0_step
0,1643856914.978316,0,2.6901206970214844,6.0,2.442650556564331,0.24890819191932678,-0.0014382319059222937,tensor([0.]),tensor([1.]),1
1,1643856915.1818998,1,2.8064024448394775,10.0,2.521270990371704,0.2865692675113678,-0.0014378826599568129,tensor([0.]),tensor([1.]),2
2,1643856915.396624,2,0.06846403330564499,0.0,0.06969822943210602,0.00020287040388211608,-0.0014370690332725644,tensor([0.]),tensor([1.]),3
3,1643856915.6328564,3,2.659688949584961,6.0,2.4206228256225586,0.24050377309322357,-0.0014377712504938245,tensor([0.]),tensor([1.]),4
4,1643856915.8206148,4,2.4937078952789307,6.0,2.2483043670654297,0.24684104323387146,-0.001437402213923633,tensor([0.]),tensor([1.]),5
5,1643856916.000718,5,2.488140344619751,3.0,2.270857572555542,0.21871881186962128,-0.0014360789209604263,tensor([0.]),tensor([1.]),6
6,1643856916.1905234,6,2.426133871078491,5.0,2.2292983531951904,0.19827139377593994,-0.001435964135453105,tensor([0.]),tensor([1.]),7
7,1643856916.3706808,7,2.1408956050872803,6.0,1.9794633388519287,0.1628681868314743,-0.001435941201634705,tensor([0.]),tensor([1.]),8
8,1643856916.5481343,8,2.05884051322937,4.0,1.9099754095077515,0.1503007858991623,-0.0014356931205838919,tensor([0.]),tensor([1.]),9
9,1643856916.7167654,9,1.7552672624588013,1.0,1.6390728950500488,0.11762990057468414,-0.001435504062101245,tensor([0.]),tensor([1.]),10
10,1643856916.8923235,10,1.4045082330703735,8.0,1.3230419158935547,0.08290074020624161,-0.001434427802450955,tensor([0.]),tensor([1.]),11
11,1643856917.060351,11,1.0556409358978271,8.0,1.0147267580032349,0.04234616830945015,-0.0014319394249469042,tensor([0.]),tensor([1.]),12
12,1643856917.2456787,12,0.6495547890663147,5.0,0.6294777989387512,0.021507704630494118,-0.0014306803932413459,tensor([0.]),tensor([1.]),13
13,1643856917.4447293,13,0.3374132215976715,5.0,0.3337271213531494,0.005112497601658106,-0.0014264034107327461,tensor([0.]),tensor([1.]),14
14,1643856917.6924944,14,0.15502741932868958,4.0,0.1550007164478302,0.001451712567359209,-0.0014250158565118909,tensor([0.]),tensor([1.]),15
15,1643856917.8673675,15,0.05207303538918495,8.0,0.053389620035886765,0.00010650871263351291,-0.0014230927918106318,tensor([0.]),tensor([1.]),16
16,1643856918.0730429,16,0.02625954896211624,10.0,0.027649378404021263,3.329872197355144e-05,-0.0014231272507458925,tensor([0.]),tensor([1.]),17
17,1643856918.2653892,17,0.008495783433318138,3.0,0.009912681765854359,6.159569693409139e-06,-0.0014230581000447273,tensor([0.]),tensor([1.]),18
18,1643856918.4603026,18,0.0013551214942708611,10.0,0.0027776341885328293,4.1247227500207373e-07,-0.0014229252701625228,tensor([0.]),tensor([1.]),19
19,1643856918.6633472,19,-0.0002599110594019294,6.0,0.0011629386572167277,5.5571636181639406e-08,-0.0014229052467271686,tensor([0.]),tensor([1.]),20
20,1643856918.864071,20,-0.0007797098369337618,3.0,0.0006431766669265926,1.700028917639429e-08,-0.0014229035004973412,tensor([0.]),tensor([1.]),21
21,1643856919.0494118,21,-0.0010244068689644337,7.0,0.00039849046152085066,5.981015682721136e-09,-0.0014229033840820193,tensor([0.]),tensor([1.]),22
22,1643856919.238665,22,-0.0011581584112718701,7.0,0.0002647430228535086,2.880896410317746e-09,-0.001422904315404594,tensor([0.]),tensor([1.]),23
23,1643856919.4008892,23,-0.0012599085457623005,3.0,0.00016299488197546452,1.421285311664633e-09,-0.001422904897481203,tensor([0.]),tensor([1.]),24
24,1643856919.6372485,24,-0.0013127715792506933,10.0,0.00011013322364306077,5.827338611652522e-10,-0.0014229053631424904,tensor([0.]),tensor([1.]),25
25,1643856919.8693826,25,-0.0013311272487044334,1.0,9.177835454465821e-05,4.0467629247586956e-10,-0.0014229060616344213,tensor([0.]),tensor([1.]),26
26,1643856920.045939,26,-0.0013449486577883363,10.0,7.795781857566908e-05,3.2509550607073834e-10,-0.0014229067601263523,tensor([0.]),tensor([1.]),27
27,1643856920.242549,27,-2.5508902072906494,0.0,-2.7994515895843506,0.24998432397842407,-0.0014229073422029614,tensor([0.]),tensor([1.]),28
28,1643856920.4282281,28,-2.1794707775115967,0.0,-2.3335115909576416,0.1554637998342514,-0.0014229272492229939,tensor([0.]),tensor([1.]),29
29,1643856920.608809,29,0.3339374363422394,10.0,0.33116400241851807,0.004192877095192671,-0.0014194545801728964,tensor([0.]),tensor([1.]),30
30,1643856920.7803946,30,0.32464882731437683,3.0,0.32107383012771606,0.0049917190335690975,-0.0014167242916300893,tensor([0.]),tensor([1.]),31
31,1643856920.9866447,31,0.24488072097301483,10.0,0.24371662735939026,0.002579637337476015,-0.0014155441895127296,tensor([0.]),tensor([1.]),32
32,1643856921.1763372,32,0.16035152971744537,9.0,0.160429909825325,0.0013367076171562076,-0.0014150893548503518,tensor([0.]),tensor([1.]),33
33,1643856921.349418,33,0.11505689471960068,5.0,0.11576467007398605,0.0007065632380545139,-0.0014143361477181315,tensor([0.]),tensor([1.]),34
34,1643856921.5245829,34,0.07057887315750122,2.0,0.07164965569972992,0.0003430013603065163,-0.0014137879479676485,tensor([0.]),tensor([1.]),35
35,1643856921.686919,35,0.05495750904083252,3.0,0.0562269352376461,0.00014366389950737357,-0.0014130882918834686,tensor([0.]),tensor([1.]),36
36,1643856921.8645012,36,0.03249458968639374,6.0,0.033830299973487854,7.72512867115438e-05,-0.0014129604678601027,tensor([0.]),tensor([1.]),37
37,1643856922.0458143,37,0.02555260993540287,1.0,0.026929298415780067,3.597475733840838e-05,-0.0014126634923741221,tensor([0.]),tensor([1.]),38
38,1643856922.231576,38,0.0194950420409441,7.0,0.02088594064116478,2.1678770281141624e-05,-0.0014125783927738667,tensor([0.]),tensor([1.]),39
39,1643856922.42168,39,0.01651529036462307,2.0,0.01791437715291977,1.342960513284197e-05,-0.0014125170418992639,tensor([0.]),tensor([1.]),40
40,1643856922.6324008,40,0.014270490035414696,9.0,0.01567358896136284,9.389962542627472e-06,-0.0014124885201454163,tensor([0.]),tensor([1.]),41
41,1643856922.8129942,41,0.012369764968752861,3.0,0.013775027357041836,7.221128726087045e-06,-0.0014124833978712559,tensor([0.]),tensor([1.]),42
42,1643856923.0007648,42,0.009706693701446056,10.0,0.011113542132079601,5.6332978601858485e-06,-0.001412482000887394,tensor([0.]),tensor([1.]),43
43,1643856923.206294,43,0.008252252824604511,1.0,0.009660620242357254,4.100296337128384e-06,-0.0014124683802947402,tensor([0.]),tensor([1.]),44
44,1643856923.389661,44,0.007147730328142643,1.0,0.008556973189115524,3.218045549147064e-06,-0.0014124603476375341,tensor([0.]),tensor([1.]),45
45,1643856923.5850158,45,0.006495289504528046,3.0,0.007905127480626106,2.616374331410043e-06,-0.0014124541776254773,tensor([0.]),tensor([1.]),46
46,1643856923.7844615,46,0.004337778314948082,5.0,0.005747986026108265,2.241278025394422e-06,-0.0014124487061053514,tensor([0.]),tensor([1.]),47
47,1643856923.9729455,47,0.004469380713999271,10.0,0.005879970267415047,1.8444943634676747e-06,-0.0014124339213594794,tensor([0.]),tensor([1.]),48
48,1643856924.162797,48,0.0035001891665160656,10.0,0.00491098128259182,1.636441879782069e-06,-0.0014124284498393536,tensor([0.]),tensor([1.]),49
49,1643856924.3317494,49,0.004406974650919437,10.0,0.005817909259349108,1.4878614820190705e-06,-0.001412422163411975,tensor([0.]),tensor([1.]),50
50,1643871719.0787814,0,2.5960850715637207,1.0,2.347724437713623,0.24979843199253082,-0.0014379374915733933,tensor([0.]),tensor([1.]),,1
51,1643871751.6856062,1,2.546699285507202,1.0,2.3134193420410156,0.2347172498703003,-0.0014375218888744712,tensor([0.]),tensor([1.]),,2
